Time (UTCG),x (km),y (km),z (km),vx (km/sec),vy (km/sec),vz (km/sec)
1420.00,293.225927,1214.368526,6887.621334,-7.539429,0.057517,0.310834
1430.00,217.908487,1214.872061,6890.326681,-7.542396,0.043438,0.230872
1440.00,142.565787,1215.235133,6892.233206,-7.544488,0.029353,0.150882
1450.00,67.20656,1215.4577,6893.340689,-7.545705,0.015265,0.070875
1460.00,-8.160458,1215.539735,6893.649002,-7.546048,0.001176,-0.00914
1470.00,-83.52653,1215.48123,6893.158108,-7.545516,-0.012914,-0.089154
1480.00,-158.882918,1215.282191,6891.868064,-7.544109,-0.027002,-0.169158
1490.00,-234.220889,1214.942641,6889.779021,-7.541827,-0.041087,-0.249142
1500.00,-309.531707,1214.462619,6886.89122,-7.538672,-0.055168,-0.329098
1510.00,-384.806643,1213.842181,6883.204995,-7.534642,-0.069242,-0.409015
1520.00,-460.03697,1213.081399,6878.720775,-7.529739,-0.083308,-0.488884
1530.00,-535.213967,1212.18036,6873.43908,-7.523963,-0.097364,-0.568697
1540.00,-610.328921,1211.13917,6867.360521,-7.517315,-0.111409,-0.648445
1550.00,-685.373122,1209.957947,6860.485803,-7.509796,-0.125442,-0.728117
1560.00,-760.337871,1208.636829,6852.815723,-7.501406,-0.139459,-0.807704
1570.00,-835.214479,1207.175968,6844.351171,-7.492146,-0.153461,-0.887198
1580.00,-909.994265,1205.575533,6835.093128,-7.482018,-0.167445,-0.966589
1590.00,-984.668561,1203.83571,6825.042667,-7.471022,-0.181409,-1.045868
1600.00,-1059.228709,1201.9567,6814.200953,-7.45916,-0.195353,-1.125026
1610.00,-1133.666067,1199.938719,6802.569244,-7.446434,-0.209274,-1.204053
1620.00,-1207.972005,1197.782001,6790.148887,-7.432845,-0.223171,-1.282941
1630.00,-1282.13791,1195.486795,6776.941324,-7.418393,-0.237041,-1.36168
1640.00,-1356.155184,1193.053367,6762.948084,-7.403082,-0.250885,-1.440261
1650.00,-1430.015246,1190.481998,6748.17079,-7.386913,-0.2647,-1.518675
1660.00,-1503.709535,1187.772986,6732.611155,-7.369887,-0.278484,-1.596913
1670.00,-1577.229507,1184.926643,6716.270984,-7.352007,-0.292235,-1.674966
1680.00,-1650.56664,1181.943299,6699.152171,-7.333275,-0.305953,-1.752825
1690.00,-1723.712432,1178.823298,6681.256699,-7.313692,-0.319636,-1.83048
1700.00,-1796.658404,1175.567002,6662.586645,-7.293262,-0.333281,-1.907924
1710.00,-1869.396099,1172.174786,6643.144172,-7.271986,-0.346889,-1.985146
1720.00,-1941.917085,1168.647044,6622.931535,-7.249868,-0.360456,-2.062138
1730.00,-2014.212957,1164.984182,6601.951077,-7.226908,-0.373981,-2.138891
1740.00,-2086.275331,1161.186624,6580.20523,-7.203112,-0.387463,-2.215395
1750.00,-2158.095856,1157.25481,6557.696515,-7.17848,-0.4009,-2.291644
1760.00,-2229.666205,1153.189194,6534.427542,-7.153015,-0.414291,-2.367626
1770.00,-2300.978081,1148.990246,6510.401008,-7.126722,-0.427634,-2.443334
1780.00,-2372.023218,1144.658452,6485.619699,-7.099603,-0.440928,-2.518759
1790.00,-2442.79338,1140.194312,6460.086488,-7.07166,-0.45417,-2.593891
1800.00,-2513.280362,1135.598342,6433.804335,-7.042898,-0.467361,-2.668723
1810.00,-2583.475994,1130.871074,6406.776288,-7.013319,-0.480497,-2.743246
1820.00,-2653.372139,1126.013054,6379.005478,-6.982927,-0.493577,-2.81745
1830.00,-2722.960693,1121.024845,6350.495127,-6.951726,-0.506601,-2.891328
1840.00,-2792.233589,1115.907022,6321.24854,-6.919719,-0.519565,-2.964871
1850.00,-2861.182798,1110.660178,6291.269106,-6.88691,-0.53247,-3.03807
1860.00,-2929.800326,1105.284919,6260.560302,-6.853302,-0.545313,-3.110917
1870.00,-2998.078219,1099.781867,6229.125688,-6.8189,-0.558094,-3.183403
1880.00,-3066.008562,1094.151657,6196.968908,-6.783708,-0.570809,-3.25552
1890.00,-3133.58348,1088.394942,6164.093691,-6.747729,-0.583459,-3.327259
1900.00,-3200.795139,1082.512385,6130.503847,-6.710967,-0.596041,-3.398613
1910.00,-3267.635748,1076.504668,6096.203271,-6.673428,-0.608554,-3.469573
1920.00,-3334.097559,1070.372486,6061.195939,-6.635116,-0.620997,-3.54013
1930.00,-3400.172866,1064.116546,6025.48591,-6.596034,-0.633369,-3.610278
1940.00,-3465.854011,1057.737573,5989.077325,-6.556187,-0.645666,-3.680006
1950.00,-3531.13338,1051.236303,5951.974403,-6.515581,-0.65789,-3.749308
1960.00,-3596.003403,1044.61349,5914.181446,-6.474219,-0.670037,-3.818175
1970.00,-3660.456563,1037.869897,5875.702837,-6.432106,-0.682107,-3.8866
1980.00,-3724.485387,1031.006306,5836.543035,-6.389248,-0.694098,-3.954574
1990.00,-3788.082452,1024.023509,5796.706581,-6.345649,-0.706008,-4.02209
2000.00,-3851.240387,1016.922314,5756.198093,-6.301315,-0.717837,-4.089139
2010.00,-3913.951869,1009.703542,5715.022268,-6.25625,-0.729583,-4.155714
2020.00,-3976.209629,1002.368028,5673.183879,-6.21046,-0.741245,-4.221808
2030.00,-4038.00645,994.916619,5630.687776,-6.16395,-0.752821,-4.287412
2040.00,-4099.335167,987.350177,5587.538887,-6.116726,-0.76431,-4.352519
2050.00,-4160.188672,979.669577,5543.742214,-6.068792,-0.77571,-4.417121
2060.00,-4220.55991,971.875708,5499.302834,-6.020155,-0.787021,-4.481211
2070.00,-4280.441882,963.969469,5454.225899,-5.97082,-0.798241,-4.544782
2080.00,-4339.827647,955.951776,5408.516636,-5.920793,-0.809368,-4.607826
2090.00,-4398.71032,947.823554,5362.180343,-5.870079,-0.820402,-4.670335
2100.00,-4457.083077,939.585745,5315.222392,-5.818685,-0.831341,-4.732304
2110.00,-4514.939148,931.2393,5267.648228,-5.766616,-0.842184,-4.793723
2120.00,-4572.271829,922.785185,5219.463366,-5.713879,-0.85293,-4.854587
2130.00,-4629.074472,914.224377,5170.673391,-5.66048,-0.863577,-4.914888
2140.00,-4685.340493,905.557865,5121.283962,-5.606424,-0.874124,-4.974619
2150.00,-4741.063369,896.786652,5071.300803,-5.551719,-0.88457,-5.033773
2160.00,-4796.236641,887.911752,5020.729709,-5.49637,-0.894914,-5.092344
2170.00,-4850.853912,878.93419,4969.576543,-5.440383,-0.905155,-5.150325
2180.00,-4904.908851,869.855006,4917.847236,-5.383766,-0.91529,-5.207708
2190.00,-4958.395192,860.675248,4865.547784,-5.326525,-0.92532,-5.264488
2200.00,-5011.306735,851.395978,4812.684251,-5.268667,-0.935243,-5.320657
2210.00,-5063.637345,842.018269,4759.262765,-5.210197,-0.945058,-5.37621
2220.00,-5115.380957,832.543205,4705.289521,-5.151124,-0.954763,-5.431139
2230.00,-5166.531572,822.971881,4650.770775,-5.091454,-0.964358,-5.485438
2240.00,-5217.08326,813.305405,4595.712847,-5.031193,-0.973842,-5.539102
2250.00,-5267.030162,803.544893,4540.122122,-4.970349,-0.983213,-5.592123
2260.00,-5316.366486,793.691475,4484.005043,-4.908929,-0.99247,-5.644496
2270.00,-5365.086515,783.746289,4427.368117,-4.84694,-1.001613,-5.696215
2280.00,-5413.1846,773.710485,4370.217909,-4.784389,-1.01064,-5.747273
2290.00,-5460.655165,763.585224,4312.561046,-4.721283,-1.01955,-5.797665
2300.00,-5507.492707,753.371677,4254.404212,-4.65763,-1.028342,-5.847385
2310.00,-5553.691798,743.071024,4195.754148,-4.593437,-1.037015,-5.896427
2320.00,-5599.24708,732.684456,4136.617655,-4.528712,-1.045568,-5.944786
2330.00,-5644.153274,722.213174,4077.001589,-4.463461,-1.054001,-5.992455
2340.00,-5688.405173,711.658388,4016.91286,-4.397694,-1.062311,-6.039429
2350.00,-5731.997648,701.02132,3956.358436,-4.331416,-1.070499,-6.085704
2360.00,-5774.925645,690.303199,3895.345337,-4.264636,-1.078563,-6.131272
2370.00,-5817.184187,679.505264,3833.880635,-4.197362,-1.086502,-6.17613
2380.00,-5858.768377,668.628763,3771.971458,-4.129602,-1.094315,-6.220272
2390.00,-5899.673393,657.674955,3709.624982,-4.061362,-1.102003,-6.263693
2400.00,-5939.894494,646.645105,3646.848435,-3.992652,-1.109562,-6.306387
2410.00,-5979.427017,635.540489,3583.649095,-3.923479,-1.116994,-6.348351
2420.00,-6018.266379,624.362391,3520.03429,-3.853851,-1.124296,-6.389578
2430.00,-6056.408077,613.112103,3456.011394,-3.783777,-1.131468,-6.430065
2440.00,-6093.847691,601.790926,3391.587829,-3.713263,-1.138509,-6.469806
2450.00,-6130.580879,590.400168,3326.771065,-3.64232,-1.145419,-6.508797
2460.00,-6166.603385,578.941148,3261.568617,-3.570954,-1.152197,-6.547034
2470.00,-6201.911031,567.415189,3195.988042,-3.499174,-1.158841,-6.584512
2480.00,-6236.499725,555.823624,3130.036944,-3.426988,-1.165351,-6.621226
2490.00,-6270.365458,544.167794,3063.72297,-3.354405,-1.171726,-6.657172
2500.00,-6303.504302,532.449046,2997.053807,-3.281434,-1.177966,-6.692347
2510.00,-6335.912418,520.668735,2930.037184,-3.208082,-1.18407,-6.726746
2520.00,-6367.586047,508.828223,2862.680871,-3.134358,-1.190037,-6.760365
2530.00,-6398.521519,496.92888,2794.992677,-3.06027,-1.195866,-6.7932
2540.00,-6428.715246,484.97208,2726.980449,-2.985828,-1.201557,-6.825248
2550.00,-6458.163729,472.959206,2658.652072,-2.91104,-1.207109,-6.856504
2560.00,-6486.863554,460.891648,2590.015467,-2.835914,-1.212522,-6.886966
2570.00,-6514.811394,448.7708,2521.078592,-2.76046,-1.217794,-6.916629
2580.00,-6542.004009,436.598064,2451.84944,-2.684686,-1.222925,-6.94549
2590.00,-6568.438247,424.374847,2382.336035,-2.6086,-1.227915,-6.973546
2600.00,-6594.111044,412.102563,2312.546437,-2.532212,-1.232764,-7.000794
2610.00,-6619.019422,399.78263,2242.488737,-2.45553,-1.237469,-7.02723
2620.00,-6643.160496,387.416473,2172.171057,-2.378564,-1.242032,-7.052851
2630.00,-6666.531466,375.005522,2101.601549,-2.301322,-1.246451,-7.077655
2640.00,-6689.129623,362.551211,2030.788394,-2.223813,-1.250725,-7.101638
2650.00,-6710.952348,350.05498,1959.739803,-2.146047,-1.254856,-7.124798
2660.00,-6731.99711,337.518275,1888.464011,-2.068031,-1.258841,-7.147131
2670.00,-6752.261471,324.942545,1816.969283,-1.989776,-1.26268,-7.168636
2680.00,-6771.74308,312.329243,1745.263907,-1.911291,-1.266374,-7.18931
2690.00,-6790.43968,299.679829,1673.356196,-1.832583,-1.269921,-7.209151
2700.00,-6808.349102,286.995764,1601.254486,-1.753664,-1.273321,-7.228156
2710.00,-6825.469272,274.278515,1528.967138,-1.674541,-1.276575,-7.246323
2720.00,-6841.798205,261.529553,1456.50253,-1.595224,-1.27968,-7.263649
2730.00,-6857.334006,248.750351,1383.869064,-1.515722,-1.282638,-7.280134
2740.00,-6872.074877,235.942388,1311.075162,-1.436044,-1.285447,-7.295774
2750.00,-6886.019107,223.107143,1238.129261,-1.356199,-1.288108,-7.310569
2760.00,-6899.16508,210.246101,1165.03982,-1.276198,-1.290619,-7.324516
2770.00,-6911.511272,197.360749,1091.815311,-1.196049,-1.292982,-7.337614
2780.00,-6923.056252,184.452577,1018.464224,-1.115761,-1.295195,-7.349862
2790.00,-6933.798682,171.523077,944.995063,-1.035343,-1.297258,-7.361257
2800.00,-6943.737317,158.573744,871.416344,-0.954806,-1.299171,-7.371799
2810.00,-6952.871003,145.606075,797.7366,-0.874158,-1.300934,-7.381486
2820.00,-6961.198683,132.62157,723.96437,-0.793408,-1.302547,-7.390318
2830.00,-6968.719392,119.621729,650.108209,-0.712567,-1.304009,-7.398292
2840.00,-6975.432256,106.608057,576.176679,-0.631643,-1.30532,-7.405409
2850.00,-6981.336498,93.582057,502.17835,-0.550646,-1.306481,-7.411668
2860.00,-6986.431434,80.545235,428.121801,-0.469585,-1.30749,-7.417067
2870.00,-6990.716474,67.499099,354.015619,-0.388469,-1.308348,-7.421606
2880.00,-6994.191119,54.445157,279.868394,-0.307308,-1.309055,-7.425285
2890.00,-6996.854968,41.384919,205.688724,-0.226112,-1.30961,-7.428103
2900.00,-6998.707711,28.319894,131.485207,-0.14489,-1.310014,-7.43006
2910.00,-6999.749134,15.251594,57.266446,-0.063651,-1.310267,-7.431155
2920.00,-6999.979117,2.181528,-16.958953,0.017596,-1.310368,-7.431389
2930.00,-6999.397632,-10.888791,-91.182387,0.09884,-1.310318,-7.430762
2940.00,-6998.004747,-23.957853,-165.395249,0.180073,-1.310116,-7.429273
2950.00,-6995.800623,-37.024146,-239.588937,0.261285,-1.309762,-7.426922
2960.00,-6992.785516,-50.086161,-313.754848,0.342467,-1.309258,-7.423711
2970.00,-6988.959776,-63.142386,-387.884384,0.42361,-1.308602,-7.419639
2980.00,-6984.323845,-76.191312,-461.968952,0.504703,-1.307794,-7.414706
2990.00,-6978.878262,-89.23143,-535.999961,0.585737,-1.306835,-7.408914
3000.00,-6972.623657,-102.261233,-609.96883,0.666704,-1.305726,-7.402264
3010.00,-6965.560756,-115.279215,-683.866984,0.747593,-1.304465,-7.394755
3020.00,-6957.690378,-128.283869,-757.685854,0.828396,-1.303053,-7.386388
3030.00,-6949.013434,-141.273693,-831.416882,0.909103,-1.301491,-7.377166
3040.00,-6939.530932,-154.247184,-905.051522,0.989704,-1.299778,-7.367088
3050.00,-6929.243969,-167.202843,-978.581235,1.070191,-1.297915,-7.356156
3060.00,-6918.153738,-180.139172,-1051.997498,1.150553,-1.295902,-7.344371
3070.00,-6906.261526,-193.054674,-1125.291798,1.230782,-1.293739,-7.331735
3080.00,-6893.56871,-205.947857,-1198.45564,1.310869,-1.291427,-7.318248
3090.00,-6880.076762,-218.817231,-1271.48054,1.390803,-1.288965,-7.303914
3100.00,-6865.787247,-231.661306,-1344.358033,1.470576,-1.286354,-7.288732
3110.00,-6850.70182,-244.478598,-1417.079669,1.550179,-1.283595,-7.272706
3120.00,-6834.822231,-257.267625,-1489.637018,1.629602,-1.280687,-7.255836
3130.00,-6818.15032,-270.026908,-1562.021667,1.708836,-1.277631,-7.238125
3140.00,-6800.688019,-282.754973,-1634.225226,1.787872,-1.274427,-7.219575
3150.00,-6782.437354,-295.450347,-1706.239323,1.866701,-1.271076,-7.200188
